{'penalty': 'elasticnet', 'alpha': 0.001, 'loss': 'log'}
0.847 (+/-0.216) for {'penalty': 'elasticnet', 'alpha': 0.0001, 'loss': 'log'}
0.845 (+/-0.182) for {'penalty': 'l1', 'alpha': 0.0001, 'loss': 'hinge'}
0.834 (+/-0.212) for {'penalty': 'l2', 'alpha': 0.0001, 'loss': 'hinge'}
0.827 (+/-0.223) for {'penalty': 'elasticnet', 'alpha': 0.0001, 'loss': 'hinge'}
0.835 (+/-0.175) for {'penalty': 'l1', 'alpha': 1e-05, 'loss': 'log'}
0.851 (+/-0.202) for {'penalty': 'l2', 'alpha': 1e-05, 'loss': 'log'}
0.856 (+/-0.191) for {'penalty': 'elasticnet', 'alpha': 1e-05, 'loss': 'log'}
0.845 (+/-0.177) for {'penalty': 'l1', 'alpha': 1e-05, 'loss': 'hinge'}
0.835 (+/-0.204) for {'penalty': 'l2', 'alpha': 1e-05, 'loss': 'hinge'}
0.855 (+/-0.182) for {'penalty': 'elasticnet', 'alpha': 1e-05, 'loss': 'hinge'}
Accuracy: 0.885
F1-score: 0.854369175069774

